iter	RMSE	RMSE
0	3.847750799	3.847750799
100	3.693149133	3.693149133
200	3.665615179	3.665615179
300	3.64925867	3.64925867
400	3.637208839	3.637208839
500	3.625842663	3.625842663
600	3.616325948	3.616325948
700	3.606894298	3.606894298
800	3.597904592	3.597904592
900	3.589604211	3.589604211
1000	3.581698183	3.581698183
1100	3.574288811	3.574288811
1200	3.566110379	3.566110379
1300	3.558827636	3.558827636
1400	3.551171948	3.551171948
1500	3.543972471	3.543972471
1600	3.53757791	3.53757791
1700	3.53081883	3.53081883
