iter	Passed	Remaining
0	109	1099694
1	210	1053655
2	331	1103467
3	441	1104344
4	548	1097199
5	646	1077032
6	743	1061571
7	841	1050777
8	950	1055141
9	1134	1133325
10	1266	1150398
11	1364	1135934
12	1464	1125141
13	1570	1120224
14	1668	1110592
15	1787	1115360
16	1899	1115227
17	1996	1107071
18	2104	1105541
19	2201	1098702
20	2299	1092688
21	2398	1088002
22	2535	1099671
23	2637	1096118
24	2734	1090895
25	2830	1085908
26	2928	1081601
27	3025	1077502
28	3136	1078530
29	3263	1084473
30	3360	1080632
31	3458	1077332
32	3563	1076210
33	3660	1073029
34	3758	1069964
35	3867	1070326
36	3997	1076478
37	4135	1084187
38	4266	1089645
39	4397	1094865
40	4527	1099779
41	4664	1105922
42	4794	1110091
43	4923	1113999
44	5032	1113270
45	5164	1117612
46	5295	1121331
47	5431	1126185
48	5545	1126235
49	5646	1123664
50	5743	1120488
51	5840	1117343
52	5937	1114304
53	6035	1111659
54	6174	1116472
55	6273	1114056
56	6370	1111259
57	6471	1109274
58	6595	1111247
59	6694	1109132
60	6809	1109434
61	6925	1110106
62	7022	1107604
63	7129	1106809
64	7226	1104566
65	7324	1102453
66	7424	1100767
67	7553	1103206
68	7664	1103082
69	7761	1101026
70	7858	1099034
71	7956	1097045
72	8060	1096153
73	8162	1094927
74	8292	1097435
75	8389	1095480
76	8486	1093614
77	8592	1093008
78	8689	1091184
79	8786	1089465
80	8894	1089176
81	9015	1090494
82	9122	1089966
83	9219	1088334
84	9316	1086718
85	9412	1085086
86	9516	1084371
87	9650	1086970
88	9749	1085701
89	9860	1085798
90	9958	1084363
91	10067	1084246
92	10164	1082830
93	10289	1084303
94	10394	1083800
95	10491	1082404
96	10597	1081917
97	10694	1080551
98	10791	1079232
99	10914	1080584
100	11024	1080514
101	11128	1079937
102	11225	1078634
103	11330	1078109
104	11427	1076921
105	11530	1076258
106	11667	1078743
107	11765	1077607
108	11861	1076368
109	11974	1076626
110	12118	1079600
111	12253	1081781
112	12391	1084171
113	12523	1086024
114	12660	1088213
115	12766	1087775
116	12863	1086615
117	12994	1088262
118	13142	1091282
119	13274	1092905
120	13371	1091726
121	13470	1090656
122	13575	1090143
123	13674	1089090
124	13771	1087925
125	13878	1087597
126	14000	1088412
127	14109	1088196
128	14207	1087137
129	14305	1086098
130	14401	1084957
131	14500	1083986
132	14631	1085469
133	14737	1085096
134	14834	1084034
135	14932	1083061
136	15032	1082208
137	15137	1081767
138	15235	1080844
139	15367	1082282
140	15469	1081645
141	15577	1081397
142	15674	1080419
143	15773	1079629
144	15872	1078795
145	15984	1078824
146	16111	1079924
147	16209	1079034
148	16307	1078143
149	16404	1077223
150	16506	1076640
151	16612	1076314
152	16734	1076992
153	16847	1077155
154	16944	1076259
155	17045	1075619
156	17149	1075163
157	17248	1074422
158	17352	1074011
159	17486	1075410
160	17594	1075209
161	17692	1074408
162	17789	1073615
163	17889	1072918
164	17988	1072216
165	18117	1073290
166	18232	1073517
167	18332	1072863
168	18430	1072142
169	18532	1071643
170	18641	1071479
171	18746	1071155
172	18877	1072279
173	19011	1073628
174	19150	1075149
175	19344	1079750
176	19490	1081654
177	19601	1081598
178	19701	1080952
179	19807	1080596
180	19911	1080165
181	20021	1080037
182	20177	1082394
183	20334	1084775
184	20485	1086843
185	20605	1087227
186	20759	1089397
187	20906	1091144
188	21040	1092195
189	21150	1092037
190	21255	1091605
191	21388	1092606
192	21509	1092958
193	21667	1095207
194	21780	1095189
195	21905	1095700
196	22030	1096280
197	22156	1096845
198	22289	1097763
199	22438	1099477
200	22659	1104676
201	22836	1107703
202	23148	1117163
203	23454	1126254
204	23817	1138002
205	24073	1144563
206	24534	1160718
207	24658	1160861
208	24771	1160445
209	24906	1161106
210	25040	1161692
211	25186	1162838
212	25335	1164135
213	25453	1163957
214	25575	1163992
215	25691	1163709
216	25801	1163228
217	26021	1167620
218	26318	1175430
219	26727	1188154
220	26909	1190701
221	27050	1191461
222	27168	1191130
223	27320	1192347
224	27455	1192796
225	27558	1191861
226	27707	1192894
227	27826	1192646
228	27940	1192157
229	28102	1193760
230	28263	1195272
231	28438	1197341
232	28704	1203245
233	29322	1223796
234	29686	1233553
235	29804	1233117
236	29907	1232008
237	30010	1230940
238	30123	1230258
239	30250	1230180
240	30368	1229715
241	30481	1229076
242	30587	1228155
243	30689	1227060
244	30791	1226006
245	30913	1225738
246	31042	1225719
247	31163	1225436
248	31287	1225256
249	31401	1224648
250	31540	1225039
251	31682	1225554
252	31786	1224581
253	31889	1223590
254	31989	1222516
255	32091	1221493
256	32198	1220655
257	32338	1221105
258	32445	1220294
259	32550	1219408
260	32662	1218783
261	32765	1217841
262	32867	1216861
263	33000	1217023
264	33138	1217379
265	33257	1217032
266	33449	1219352
267	33687	1223305
268	33951	1228200
269	34340	1237520
270	34552	1240464
271	34938	1249564
272	35109	1250957
273	35286	1252548
274	35449	1253624
275	35572	1253281
276	35693	1252865
277	35817	1252579
278	35948	1252540
279	36103	1253300
280	36238	1253397
281	36364	1253159
282	36500	1253261
283	36628	1253100
284	36760	1253087
285	36889	1252965
286	37034	1253351
287	37162	1253194
288	37290	1253053
289	37425	1253124
290	37579	1253825
291	37737	1254637
292	37867	1254541
293	37972	1253616
294	38107	1253686
295	38239	1253640
296	38378	1253824
297	38480	1252798
298	38578	1251674
299	38685	1250827
300	38782	1249680
301	38883	1248636
302	38994	1247941
303	39121	1247767
304	39219	1246659
305	39316	1245549
306	39413	1244399
307	39510	1243298
308	39622	1242654
309	39800	1244096
310	39950	1244624
311	40066	1244129
312	40169	1243213
313	40273	1242320
314	40376	1241428
315	40500	1241166
316	40619	1240739
317	40722	1239850
318	40823	1238911
319	40924	1237969
320	41031	1237220
321	41139	1236490
322	41263	1236246
323	41360	1235195
324	41470	1234559
325	41584	1234003
326	41688	1233203
327	41807	1232803
328	41930	1232539
329	42035	1231760
330	42138	1230934
331	42249	1230314
332	42351	1229475
333	42473	1229188
334	42583	1228564
335	42681	1227599
336	42778	1226610
337	42883	1225860
338	42983	1224952
339	43085	1224130
340	43225	1224377
341	43327	1223545
342	43429	1222731
343	43536	1222053
344	43643	1221379
345	43746	1220607
346	43874	1220514
347	43994	1220215
348	44103	1219611
349	44205	1218804
350	44307	1218022
351	44408	1217193
352	44516	1216564
353	44651	1216686
354	44752	1215885
355	44853	1215075
356	44949	1214134
357	45049	1213318
358	45162	1212845
359	45297	1212963
360	45438	1213249
361	45553	1212841
362	45689	1212969
363	45833	1213341
364	45987	1213951
365	46099	1213443
366	46206	1212829
367	46304	1211979
368	46400	1211074
369	46498	1210205
370	46608	1209688
371	46732	1209519
372	46829	1208640
373	46925	1207775
374	47022	1206912
375	47127	1206258
376	47228	1205519
377	47362	1205605
378	47470	1205037
379	47566	1204186
380	47666	1203432
381	47765	1202651
382	47866	1201913
383	47997	1201926
384	48116	1201652
385	48217	1200942
386	48325	1200401
387	48433	1199847
388	48541	1199317
389	48679	1199521
390	48790	1199054
391	48895	1198437
392	49003	1197901
393	49109	1197330
394	49216	1196776
395	49379	1197574
396	49518	1197797
397	49647	1197779
398	49765	1197495
399	49864	1196742
400	49975	1196299
401	50125	1196772
402	50292	1197659
403	50422	1197670
404	50538	1197322
405	50664	1197222
406	50801	1197396
407	50969	1198280
408	51143	1199313
409	51264	1199087
410	51371	1198539
411	51486	1198189
412	51613	1198098
413	51713	1197402
414	51816	1196781
415	51918	1196114
416	52019	1195441
417	52131	1195037
418	52275	1195347
419	52381	1194790
420	52481	1194108
421	52583	1193463
422	52698	1193117
423	52812	1192755
424	52955	1193061
425	53104	1193477
426	53219	1193140
427	53345	1193039
428	53510	1193823
429	53679	1194671
430	53797	1194401
431	53912	1194057
432	54024	1193664
433	54130	1193105
434	54253	1192954
435	54408	1193493
436	54516	1193009
437	54620	1192424
438	54726	1191900
439	54831	1191347
440	54941	1190893
441	55073	1190943
442	55190	1190651
443	55296	1190127
444	55402	1189599
445	55506	1189044
446	55611	1188495
447	55731	1188276
448	55856	1188172
449	55960	1187607
450	56063	1187022
451	56170	1186530
452	56272	1185937
453	56388	1185651
454	56515	1185586
455	56617	1185000
456	56714	1184305
457	56811	1183617
458	56908	1182930
459	57005	1182237
460	57120	1181925
461	57235	1181618
462	57332	1180954
463	57443	1180569
464	57541	1179919
465	57646	1179407
466	57767	1179220
467	57884	1178973
468	57985	1178377
469	58082	1177724
470	58183	1177136
471	58288	1176640
472	58416	1176603
473	58548	1176644
474	58647	1176034
475	58747	1175435
476	58847	1174852
477	58947	1174254
478	59047	1173671
479	59165	1173454
480	59279	1173139
481	59377	1172514
482	59475	1171909
483	59574	1171304
484	59675	1170742
485	59773	1170131
486	59900	1170086
487	60001	1169529
488	60098	1168901
489	60194	1168273
490	60293	1167673
491	60389	1167046
492	60489	1166482
493	60621	1166527
494	60754	1166613
495	60884	1166630
496	60982	1166037
497	61100	1165825
498	61287	1166920
499	61430	1167183
500	61530	1166623
501	61627	1166013
