iter	RMSE	RMSE
0	1.715780992	1.715780992
50	1.69900036	1.69900036
100	1.684717001	1.684717001
150	1.672428784	1.672428784
200	1.661918926	1.661918926
250	1.652915507	1.652915507
300	1.645209755	1.645209755
350	1.638587091	1.638587091
400	1.632856282	1.632856282
450	1.627865683	1.627865683
500	1.623501688	1.623501688
550	1.61968169	1.61968169
600	1.61634347	1.61634347
650	1.613323629	1.613323629
700	1.610647687	1.610647687
750	1.60822727	1.60822727
800	1.606023086	1.606023086
850	1.60402203	1.60402203
900	1.602217467	1.602217467
950	1.600537629	1.600537629
1000	1.598983096	1.598983096
1050	1.597540818	1.597540818
1100	1.596205889	1.596205889
1150	1.594947647	1.594947647
1200	1.593749314	1.593749314
1250	1.592639669	1.592639669
1300	1.591581084	1.591581084
1350	1.590579638	1.590579638
1400	1.58962773	1.58962773
1450	1.588734929	1.588734929
1500	1.587853655	1.587853655
1550	1.587041702	1.587041702
1600	1.586263425	1.586263425
1650	1.585512367	1.585512367
1700	1.584788325	1.584788325
1750	1.584093049	1.584093049
1800	1.583417001	1.583417001
1850	1.582756646	1.582756646
1900	1.582136834	1.582136834
1950	1.581537116	1.581537116
2000	1.580932658	1.580932658
2050	1.58036865	1.58036865
2100	1.57982921	1.57982921
2150	1.579290989	1.579290989
2200	1.578742728	1.578742728
2250	1.578236448	1.578236448
2300	1.577733111	1.577733111
2350	1.577236105	1.577236105
2400	1.576746948	1.576746948
2450	1.576290045	1.576290045
2500	1.575843509	1.575843509
2550	1.575401942	1.575401942
2600	1.57497861	1.57497861
2650	1.574554462	1.574554462
2700	1.574147685	1.574147685
2750	1.573738464	1.573738464
2800	1.573350108	1.573350108
2850	1.572964438	1.572964438
2900	1.572587577	1.572587577
2950	1.572209036	1.572209036
3000	1.571854487	1.571854487
3050	1.571518156	1.571518156
3100	1.57116732	1.57116732
3150	1.570817648	1.570817648
3200	1.570494572	1.570494572
3250	1.57016671	1.57016671
3300	1.569862226	1.569862226
3350	1.569530729	1.569530729
3400	1.569228151	1.569228151
3450	1.56894368	1.56894368
3500	1.568657162	1.568657162
3550	1.568363829	1.568363829
3600	1.568074899	1.568074899
3650	1.567790054	1.567790054
3700	1.567509058	1.567509058
3750	1.567232282	1.567232282
